,13-Jan-2026
The Nifty witnessed an intraday movement of about 296.5 points.The closing index was 0.22 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 101636.97
, Traded Quantity (in Lakhs), 48038.86
, Number of Trades, 29941951
, Total Market Capitalisation (Rs. Crores), 46576776.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     25790.25,     25897.35,     25899.80,     25603.30,     25732.30,-57.95
,NIFTY50 EQL Wgt,     33228.05,     33307.25,     33342.90,     32962.85,     33167.65,-60.40
,NIFTY100 EQL Wgt,     33716.85,     33813.30,     33880.00,     33391.10,     33633.90,-82.95
,NIFTY100 LowVol30,     21105.75,     21153.30,     21159.80,     20948.25,     21058.90,-46.85
,NIFTY Alpha 50,     49217.60,     49421.85,     49611.25,     48870.40,     49347.65,130.05
,NIFTY MIDCAP 150,     21948.85,     22030.60,     22106.80,     21741.15,     21918.70,-30.15
,NIFTY SMLCAP 50,      8374.55,      8409.65,      8460.85,      8359.00,      8447.55,73.00
,NIFTY SMLCAP 250,     16101.40,     16170.95,     16258.90,     16089.35,     16205.25,103.85
,NIFTY MIDSML 400,     19779.55,     19857.20,     19936.90,     19651.05,     19804.70,25.15
,NIFTY200 QUALTY30,     21383.50,     21468.80,     21513.10,     21188.20,     21329.20,-54.30
,Nifty FinSrv25 50,     30253.95,     30377.10,     30429.20,     30208.10,     30351.35,97.40
,NIFTY AlphaLowVol,     27106.15,     27145.10,     27194.65,     26889.65,     27035.45,-70.70
,Nifty200Momentm30,     31025.35,     31127.45,     31206.00,     30712.15,     30960.05,-65.30
,Nifty100ESGSecLdr,      4319.55,      4337.40,      4339.90,      4291.00,      4313.80,-5.75
,NIFTY100 ESG,      5166.75,      5187.15,      5195.20,      5136.80,      5168.90,2.15
,NIFTY M150 QLTY50,     23677.15,     23752.35,     23848.20,     23523.00,     23706.30,29.15
,NIFTY INDIA MFG,     15323.65,     15373.40,     15393.60,     15134.25,     15251.75,-71.90
,Nifty200 Alpha 30,     24836.25,     24929.30,     24990.30,     24488.15,     24716.90,-119.35
,NiftyM150Momntm50,     60874.40,     61128.05,     61342.30,     60191.40,     60736.20,-138.20
,Nifty50 USD,      9911.50,      9911.50,     10206.30,      9825.05,      9884.65,-26.85
,Nifty IT,     37988.25,     38227.85,     38394.40,     37777.75,     38236.55,248.30
,Nifty Next 50,     68699.05,     68907.75,     69126.65,     67946.65,     68522.00,-177.05
,Nifty Bank,     59450.50,     59767.55,     59767.55,     59312.05,     59578.80,128.30
,NIFTY MIDCAP 100,     59717.10,     59942.50,     60109.75,     59071.50,     59597.80,-119.30
,Nifty 500,     23510.45,     23603.45,     23627.05,     23336.05,     23480.65,-29.80
,Nifty 100,     26357.40,     26462.05,     26462.75,     26150.55,     26296.75,-60.65
,Nifty Midcap 50,     17085.40,     17147.85,     17193.10,     16886.85,     17034.00,-51.40
,Nifty Realty,       863.30,       865.15,       871.10,       848.25,       857.95,-5.35
,Nifty Infra,      9332.80,      9346.45,      9348.55,      9162.35,      9226.55,-106.25
,Nifty Energy,     34473.55,     34630.00,     34705.90,     34177.90,     34416.70,-56.85
,Nifty FMCG,     52745.50,     52816.40,     53007.15,     52326.25,     52577.15,-168.35
,Nifty MNC,     30388.45,     30454.90,     30577.05,     30199.95,     30396.40,7.95
,Nifty Pharma,     22668.45,     22708.05,     22742.70,     22392.25,     22562.30,-106.15
,Nifty PSE,      9855.20,      9891.55,      9919.25,      9754.75,      9838.45,-16.75
,Nifty PSU Bank,      8657.20,      8709.10,      8741.65,      8649.45,      8725.00,67.80
,Nifty Serv Sector,     33419.90,     33596.85,     33615.35,     33375.00,     33539.75,119.85
,Nifty Auto,     28011.75,     28154.35,     28159.55,     27694.60,     27915.10,-96.65
,Nifty Metal,     11315.75,     11366.80,     11440.95,     11267.55,     11355.20,39.45
,Nifty Media,      1403.15,      1409.95,      1423.60,      1406.95,      1413.85,10.70
,NIFTY SMLCAP 100,     17193.30,     17264.25,     17359.25,     17163.95,     17295.80,102.50
,Nifty 200,     14352.10,     14408.55,     14413.35,     14231.85,     14319.85,-32.25
,Nifty Div Opps 50,      6309.75,      6340.15,      6344.85,      6288.80,      6327.80,18.05
,Nifty Commodities,      9491.15,      9515.20,      9530.85,      9412.50,      9480.20,-10.95
,Nifty Consumption,     12080.95,     12123.60,     12150.35,     11963.85,     12042.55,-38.40
